academic_terms,original_string,new_string,domains,country
university of insurance and banking in warsaw,university of insurance and banking in warsaw,university of insurance and banking in warsaw,wsub.waw.pl,Poland
university of lodz,university of lodz,university of lodz,uni.lodz.pl,Poland
university of lower silesia of the association for the advancement of education in wroclaw,university of lower silesia of the association for the advancement of education in wroclaw,university of lower silesia of the association for the advancement of education in wroclaw,dswe.wroc.pl,Poland
university of management and marketing,university of management and marketing,university of management and marketing,wszim.edu.pl,Poland
university of opole,university of opole,university of opole,uni.opole.pl,Poland
university of silesia,university of silesia,university of silesia,us.edu.pl,Poland
university of szczecin,university of szczecin,university of szczecin,univ.szczecin.pl,Poland
university of technology and life sciences,university of technology and life sciences,university of technology and life sciences,utp.edu.pl,Poland
university of wamia and masuria in olsztyn,university of wamia and masuria in olsztyn,university of wamia and masuria in olsztyn,uwm.edu.pl,Poland
university of warsaw,university of warsaw,university of warsaw,uw.edu.pl,Poland
university of wroclaw,university of wroclaw,university of wroclaw,uni.wroc.pl,Poland
university school of physical education,university school of physical education,university school of physical education,awf.krakow.pl,Poland
walcz college,walcz college,walcz college,pwsz.eu,Poland
warsaw school of economics,warsaw school of economics,warsaw school of economics,sgh.waw.pl,Poland
warsaw school of information technology,warsaw school of information technology,warsaw school of information technology,wsisiz.edu.pl,Poland
warsaw school of social psychology,warsaw school of social psychology,warsaw school of social psychology,swps.edu.pl,Poland
warsaw university of technology,warsaw university of technology,warsaw university of technology,pw.edu.pl,Poland
west pomeranian business school in szczecin,west pomeranian business school in szczecin,west pomeranian business school in szczecin,zpsb.szczecin.pl,Poland
zachodniopomorska school of science and engineering,zachodniopomorska school of science and engineering,zachodniopomorska school of science and engineering,zut.edu.pl,Poland
academia nacional superior de orquesta,academia nacional superior de orquesta,academia nacional superior de orquesta,oml.pt,Portugal
escola nautica infante d. henrique,escola nautica infante d. henrique,escola nautica infante d. henrique,enautica.pt,Portugal
escola superior de artes e design,escola superior de artes e design,escola superior de artes e design,esad.pt,Portugal
escola superior de hotelaria e turismo do estoril,escola superior de hotelaria e turismo do estoril,escola superior de hotelaria e turismo do estoril,eshte.pt,Portugal
european university portugal,european university portugal,european university portugal,europeanuniversity.pt,Portugal
instituto de artes visuais design e marketing,instituto de artes visuais design e marketing,instituto de artes visuais design e marketing,iade.pt,Portugal
instituto piaget,instituto piaget,instituto piaget,ipiaget.org,Portugal
instituto politécnico da guarda,instituto politécnico da guarda,instituto politécnico da guarda,ipg.pt,Portugal
instituto politécnico de beja,instituto politécnico de beja,instituto politécnico de beja,ipbeja.pt,Portugal
instituto politécnico de bragança,instituto politécnico de bragança,instituto politécnico de bragança,ipb.pt,Portugal
instituto politécnico de castelo branco,instituto politécnico de castelo branco,instituto politécnico de castelo branco,ipcb.pt,Portugal
instituto politécnico de coimbra,instituto politécnico de coimbra,instituto politécnico de coimbra,ipc.pt,Portugal
instituto politécnico de leiria,instituto politécnico de leiria,instituto politécnico de leiria,ipleiria.pt,Portugal
instituto politécnico de leiria,instituto politécnico de leiria,instituto politécnico de leiria,my.ipleiria.pt,Portugal
instituto politécnico de lisboa,instituto politécnico de lisboa,instituto politécnico de lisboa,ipl.pt,Portugal
instituto politécnico de portalegre,instituto politécnico de portalegre,instituto politécnico de portalegre,ipportalegre.pt,Portugal
instituto politécnico de santarém,instituto politécnico de santarém,instituto politécnico de santarém,ipsantarem.pt,Portugal
instituto politécnico de setúbal,instituto politécnico de setúbal,instituto politécnico de setúbal,ips.pt,Portugal
instituto politécnico de tomar,instituto politécnico de tomar,instituto politécnico de tomar,ipt.pt,Portugal
instituto politécnico de viana do castelo,instituto politécnico de viana do castelo,instituto politécnico de viana do castelo,ipvc.pt,Portugal
instituto politécnico do cávado e do ave,instituto politécnico do cávado e do ave,instituto politécnico do cávado e do ave,ipca.pt,Portugal
instituto politecnico do porto,instituto politecnico do porto,instituto politecnico do porto,ipp.pt,Portugal
instituto superior bissaya barreto,instituto superior bissaya barreto,instituto superior bissaya barreto,isbb.pt,Portugal
instituto superior d. afonso iii,instituto superior d. afonso iii,instituto superior d. afonso iii - inuaf,inuaf-studia.pt,Portugal
instituto superior de assistentes e intérpretes,instituto superior de assistentes e intérpretes,instituto superior de assistentes e intérpretes,isai.pt,Portugal
instituto superior de ciências educativas,instituto superior de ciências educativas,instituto superior de ciências educativas,pedago.pt,Portugal
instituto superior de ciências empresariais e de turismo,instituto superior de ciências empresariais e de turismo,instituto superior de ciências empresariais e de turismo,iscet.pt,Portugal
instituto superior de entre douro e vouga,instituto superior de entre douro e vouga,instituto superior de entre douro e vouga,isvouga.com,Portugal
instituto superior de gestão,instituto superior de gestão,instituto superior de gestão - isg,isg.pt,Portugal
instituto superior de informática e gestão,instituto superior de informática e gestão,instituto superior de informática e gestão,cocite.pt,Portugal
instituto superior de línguas e administração,instituto superior de línguas e administração,instituto superior de línguas e administração,isla.pt,Portugal
instituto superior de paços de brandão,instituto superior de paços de brandão,instituto superior de paços de brandão,ispab.pt,Portugal
instituto superior de psicologia aplicada,instituto superior de psicologia aplicada,instituto superior de psicologia aplicada,ispa.pt,Portugal
instituto superior de saúde do alto ave,instituto superior de saúde do alto ave,instituto superior de saúde do alto ave,isave.edu.pt,Portugal
instituto superior de tecnologias avançadas,instituto superior de tecnologias avançadas,instituto superior de tecnologias avançadas,istec.pt,Portugal
instituto superior de transportes e comunicações,instituto superior de transportes e comunicações,instituto superior de transportes e comunicações,istp.pt,Portugal
instituto superior novas profissões,instituto superior novas profissões,instituto superior novas profissões,inp.pt,Portugal
instituto superior politécnico gaya,instituto superior politécnico gaya,instituto superior politécnico gaya,ispgaya.pt,Portugal
iscte|instituto universitário de lisboa,iscte|instituto universitário de lisboa,instituto universitário de lisboa,iscte.pt|iscte-iul.pt,Portugal
universidade aberta lisboa,universidade aberta lisboa,universidade aberta lisboa,univ-ab.pt,Portugal
